region,year,temp_anomaly,temp_lower,temp_upper
Northern Hemisphere,1919,0.0081692245,-0.10540099,0.12173944
Southern Hemisphere,1919,0.054964844,-0.16196963,0.27189934
World,1919,0.031567015,-0.1052972,0.16843127
Northern Hemisphere,1920,0.07509451,-0.035168123,0.18535717
Southern Hemisphere,1920,0.044038776,-0.15210384,0.24018142
World,1920,0.059566654,-0.07021289,0.18934622
Northern Hemisphere,1921,0.22816698,0.12118723,0.33514675
Southern Hemisphere,1921,0.016965602,-0.16452053,0.1984517
World,1921,0.12256629,0.005072275,0.24006031
Northern Hemisphere,1922,0.08795624,-0.017333725,0.19324623
Southern Hemisphere,1922,-0.036297467,-0.19888374,0.12628876
World,1922,0.025829384,-0.0818181,0.13347688
Northern Hemisphere,1923,0.14310461,0.04481988,0.24138935
Southern Hemisphere,1923,-0.044289734,-0.20589253,0.11731302
World,1923,0.04940743,-0.056283377,0.15509824
Northern Hemisphere,1924,0.20498978,0.11086341,0.29911616
Southern Hemisphere,1924,-0.09407499,-0.2588161,0.07066611
World,1924,0.05545739,-0.050066702,0.16098152
Northern Hemisphere,1925,0.21961543,0.12874214,0.31048873
Southern Hemisphere,1925,-0.050892558,-0.21711138,0.1153262
World,1925,0.08436141,-0.02336215,0.19208503
Northern Hemisphere,1926,0.38472545,0.2875201,0.4819308
Southern Hemisphere,1926,0.09893746,-0.061550613,0.25942552
World,1926,0.24183145,0.1328454,0.3508175
Northern Hemisphere,1927,0.2849049,0.1995111,0.37029868
Southern Hemisphere,1927,-0.008656319,-0.17329314,0.15598044
World,1927,0.13812429,0.034809746,0.24143882
Northern Hemisphere,1928,0.2972249,0.1987684,0.3956814
Southern Hemisphere,1928,0.013866726,-0.15354502,0.18127848
World,1928,0.15554583,0.046397395,0.26469427
Northern Hemisphere,1929,0.056118328,-0.022349605,0.13458629
Southern Hemisphere,1929,-0.108824216,-0.28172764,0.06407917
World,1929,-0.026352962,-0.13408561,0.08137972
Northern Hemisphere,1930,0.3670836,0.28729567,0.44687158
Southern Hemisphere,1930,0.021070842,-0.15244019,0.19458187
World,1930,0.19407724,0.08732895,0.3008255
Northern Hemisphere,1931,0.42698085,0.3444039,0.5095578
Southern Hemisphere,1931,0.08930149,-0.0790902,0.25769317
World,1931,0.25814116,0.1525209,0.36376143
Northern Hemisphere,1932,0.34266478,0.260731,0.42459854
Southern Hemisphere,1932,0.08529077,-0.07066985,0.24125141
World,1932,0.21397778,0.11471919,0.31323636
Northern Hemisphere,1933,0.111682706,0.034610886,0.18875451
Southern Hemisphere,1933,-0.04038286,-0.1923689,0.11160316
World,1933,0.035649903,-0.059692793,0.13099262
Northern Hemisphere,1934,0.33137807,0.25251135,0.41024476
Southern Hemisphere,1934,0.042449,-0.11255499,0.19745298
World,1934,0.18691353,0.09142042,0.28240663
Northern Hemisphere,1935,0.28793383,0.2144707,0.36139694
Southern Hemisphere,1935,0.014246676,-0.138446,0.16693935
World,1935,0.15109025,0.058787353,0.24339312
Northern Hemisphere,1936,0.32406855,0.24709505,0.40104204
Southern Hemisphere,1936,0.061906938,-0.08394142,0.20775527
World,1936,0.19298774,0.09765903,0.28831646
Northern Hemisphere,1937,0.5144944,0.4355287,0.5934602
Southern Hemisphere,1937,0.18133003,0.032084826,0.33057526
World,1937,0.34791222,0.25434914,0.44147533
Northern Hemisphere,1938,0.5438074,0.47092932,0.6166855
Southern Hemisphere,1938,0.1583271,0.005939845,0.31071436
World,1938,0.35106725,0.2567927,0.44534183
Northern Hemisphere,1939,0.43821496,0.3654806,0.5109493
Southern Hemisphere,1939,0.20610058,0.04662213,0.36557904
World,1939,0.32215777,0.2275715,0.41674402
Northern Hemisphere,1940,0.50391626,0.4166342,0.59119827
Southern Hemisphere,1940,0.37165424,0.18022773,0.5630807
World,1940,0.43778524,0.3199536,0.55561686
Northern Hemisphere,1941,0.46105433,0.29796007,0.6241486
Southern Hemisphere,1941,0.3355712,0.057267223,0.61387515
World,1941,0.39831275,0.19186857,0.60475695
Northern Hemisphere,1942,0.4485491,0.2858634,0.6112347
Southern Hemisphere,1942,0.2783482,-0.0055511855,0.56224763
World,1942,0.36344865,0.15471435,0.57218295
Northern Hemisphere,1943,0.5046825,0.34833568,0.66102934
Southern Hemisphere,1943,0.23595634,-0.046103533,0.5180162
World,1943,0.37031943,0.1671606,0.5734783
Northern Hemisphere,1944,0.613337,0.4594372,0.7672367
Southern Hemisphere,1944,0.40383923,0.111328,0.6963505
World,1944,0.5085881,0.30361295,0.7135632
Northern Hemisphere,1945,0.4768613,0.32530272,0.6284199
Southern Hemisphere,1945,0.3368696,0.047711734,0.6260274
World,1945,0.40686545,0.20608912,0.60764176
Northern Hemisphere,1946,0.3781811,0.26765847,0.48870376
Southern Hemisphere,1946,0.104267545,-0.10122671,0.3097618
World,1946,0.24122432,0.09923715,0.3832115
Northern Hemisphere,1947,0.43241307,0.336592,0.5282342
Southern Hemisphere,1947,0.10351775,-0.09433108,0.30136657
World,1947,0.2679654,0.13323957,0.40269127
Northern Hemisphere,1948,0.38890228,0.29857317,0.47923142
Southern Hemisphere,1948,0.08067957,-0.10810333,0.26946253
World,1948,0.23479094,0.1095661,0.36001578
Northern Hemisphere,1949,0.3188045,0.244323,0.393286
Southern Hemisphere,1949,0.101372115,-0.08244153,0.28518575
World,1949,0.21008831,0.096191145,0.32398546
Northern Hemisphere,1950,0.19303454,0.13298617,0.25308293
Southern Hemisphere,1950,0.055572692,-0.114309214,0.2254546
World,1950,0.12430362,0.022803584,0.22580366
Northern Hemisphere,1951,0.4374271,0.3837262,0.49112803
Southern Hemisphere,1951,0.146731,-0.011726048,0.3051881
World,1951,0.29207906,0.20015202,0.3840061
Northern Hemisphere,1952,0.45554984,0.39403462,0.51706505
Southern Hemisphere,1952,0.293988,0.124112405,0.46386355
World,1952,0.37476888,0.2747812,0.4747566
Northern Hemisphere,1953,0.59430516,0.5356155,0.6529949
Southern Hemisphere,1953,0.28756085,0.12026072,0.454861
World,1953,0.44093302,0.3418167,0.5400493
