uri,author_handle,author_name,text,created_at,indexed_at,reply_count,repost_count,like_count,quote_count,bookmark_count,in_reply_to,in_reply_root,quotes
at://did:plc:ndqm4sqxiroxdx5aik2dk2ig/app.bsky.feed.post/3l5mzaabffu2n,camaradosdeputados.bsky.social,Câmara dos Deputados,"A TV Câmara, em conjunto com a TV Senado e emissoras da Rede Legislativa de Rádio e Televisão estarão juntas neste domingo para a cobertura especial das eleições municipais de 2024. Ouça: cd.leg.br/AvSqngwxk3 #eleições2024",2024-10-03T19:45:36Z,2024-10-03T19:45:36Z,2,1,2,0,0,at://did:plc:ndqm4sqxiroxdx5aik2dk2ig/app.bsky.feed.post/3l5mnyuocyd2u,at://did:plc:ndqm4sqxiroxdx5aik2dk2ig/app.bsky.feed.post/3l5mnyuocyd2u,NA
at://did:plc:g7qgrtl2gesmrba3v4eyewbn/app.bsky.feed.post/3l5mmcnysrc26,massadoboulos.bsky.social,Massa Do Boulos,"🚨 Compartilhe essa mensagem! 🚨
Ajude a todos ficarem informados e prontos para exercer seu direito ao voto! ✅
#Eleições2024 #VoteConsciente #CidadaniaEmAção",2024-10-03T15:54:18Z,2024-10-03T15:54:18Z,0,0,0,0,0,at://did:plc:g7qgrtl2gesmrba3v4eyewbn/app.bsky.feed.post/3l5mmcehc4t2f,at://did:plc:g7qgrtl2gesmrba3v4eyewbn/app.bsky.feed.post/3l5mm7gvfap22,NA
at://did:plc:tlm3bpbfpwmx3uj5um2kfm47/app.bsky.feed.post/3l5midmsjit2f,abraji.bsky.social,Associação Brasileira de Jornalismo Investigativo,"A campanha “Jornalismo é confiável, fala nossa língua, protege da desinformação e fortalece a democracia”, idealizada pela Ministra Cármen Lúcia, foi veiculada durante 8 semanas e se encerra pra dar lugar às #Eleições2024.",2024-10-03T14:43:16Z,2024-10-03T14:43:16Z,1,0,1,0,0,at://did:plc:tlm3bpbfpwmx3uj5um2kfm47/app.bsky.feed.post/3l5mibynf2a2l,at://did:plc:tlm3bpbfpwmx3uj5um2kfm47/app.bsky.feed.post/3l5mibynf2a2l,NA
at://did:plc:ijovjshshhuvntxaopoe7jut/app.bsky.feed.post/3l5mhl4cyui2j,artierfox.bsky.social,NA,"Pra cima Marçal Ⓜ️2️⃣8️⃣
#pablomarcal #eleicoes2024 #marçal #pablomarçal",2024-10-03T14:29:33Z,2024-10-03T14:29:33Z,0,0,0,0,0,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l5maz2nyrl2v,at://did:plc:acvjxnp5fsqoq4fwri6wuqj7/app.bsky.feed.post/3l5maz2nyrl2v,NA
at://did:plc:ghnteunemuckg52snz6eyywk/app.bsky.feed.post/3l5l3gwrw632v,sosamigodosanimais.bsky.social,S.O.S. Amigo dos Animais,"Lembrando que você pode ver na sua cidade quem apoia a causa e assinou a pauta animalista!

 www.frenteanimalista.org.br/eleicoes2024...",2024-10-03T01:19:50Z,2024-10-03T01:19:49Z,0,1,1,0,0,at://did:plc:ghnteunemuckg52snz6eyywk/app.bsky.feed.post/3l5l3drjiqz2i,at://did:plc:ghnteunemuckg52snz6eyywk/app.bsky.feed.post/3l5l2l54d5z2w,NA
at://did:plc:xi3qnmi2msrwr3ui4tkx33uf/app.bsky.feed.post/3l5kxfioegu2a,babusantana.bsky.social,Babu Santana,"🙌🏾✊🏾✅

#Babu50050
#TropaDoBabu
#babusantana50050
#eleicoes2024
#psol",2024-10-03T00:07:25Z,2024-10-03T00:07:25Z,0,0,11,0,0,at://did:plc:xi3qnmi2msrwr3ui4tkx33uf/app.bsky.feed.post/3l5kxdnrzhi2v,at://did:plc:xi3qnmi2msrwr3ui4tkx33uf/app.bsky.feed.post/3l5kx6rtgxz2x,NA
at://did:plc:lz3pksmbxyjbp3cuxeacm7vy/app.bsky.feed.post/3l5kvon4rfa26,luma11.bsky.social,NA,"Mas e a Lei da Ficha Limpa?!?!
🤡🤡🤡🤡
Só trouxa pra votar nesse ex-encarcerado!!!! 
#Eleições2024",2024-10-02T23:36:43Z,2024-10-02T23:36:43Z,1,0,1,0,0,at://did:plc:iddtdjw5gujvbxbzjm45wlgb/app.bsky.feed.post/3l5krghpeco2r,at://did:plc:iddtdjw5gujvbxbzjm45wlgb/app.bsky.feed.post/3l5krghpeco2r,NA
at://did:plc:tmfx73ppdmr7d7pfuneqelsc/app.bsky.feed.post/3l5ko335bav2v,driufc.bsky.social,🇩 🇷 🇮 🇺 🇫 🇨,"Leide Do Sindicato PT - Capistrano / CE (@leide_do_sindicato)

Ane Do Sindicato PT - Governador Mangabeira / BA (@anedosindicato)

Patricia Do Sindicato Rede - Contagem / MG (@patriciadosindicato)

#campanhademulher #buzzqq #candidaturasdesindicatos #eleicoes2024",2024-10-02T21:20:33Z,2024-10-02T21:20:33Z,1,1,2,0,0,at://did:plc:tmfx73ppdmr7d7pfuneqelsc/app.bsky.feed.post/3l5kny2xk3x2f,at://did:plc:tmfx73ppdmr7d7pfuneqelsc/app.bsky.feed.post/3l5knq77h232n,NA
at://did:plc:tmfx73ppdmr7d7pfuneqelsc/app.bsky.feed.post/3l5jtacbryc2k,driufc.bsky.social,🇩 🇷 🇮 🇺 🇫 🇨,"Duda Othero PSOL - Nova Lima / MG (@dudaothero)

Ariadne Telles PSOL - Florianópolis / SC (@ariadnetelles)

#campanhademulher #buzzqq #eleicoes2024 #advogadasparavotar",2024-10-02T13:20:17Z,2024-10-02T13:20:17Z,1,0,1,0,0,at://did:plc:tmfx73ppdmr7d7pfuneqelsc/app.bsky.feed.post/3l5jt6ct2b62s,at://did:plc:tmfx73ppdmr7d7pfuneqelsc/app.bsky.feed.post/3l5jso6wv2h2v,NA
at://did:plc:fnnpykl356gsf5ymvtwcexzt/app.bsky.feed.post/3l5jqovx4ut26,mjdelfino.bsky.social,Marcelo Delfino🐬,A única surpresa seria Boulos fora do 2⁰ turno. #Eleições2024 #SãoPaulo #Brasil,2024-10-02T12:34:45Z,2024-10-02T12:34:45Z,0,0,2,0,0,at://did:plc:643xwrc2cwhzqmzuvhk6rlcp/app.bsky.feed.post/3l5jjtdthwg2r,at://did:plc:vbaujerwgeiryxultuk2c6ym/app.bsky.feed.post/3l5jjrt3xqz22,NA
